"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 22:38:49 MSK 2025","Mon Mar 24 22:38:50 MSK 2025","169","tests.test_company","test_get_companies","TestGetCompanies","","","Get all companies",""
"failed","Mon Mar 24 22:27:23 MSK 2025","Mon Mar 24 22:38:49 MSK 2025","685621","tests.e2e","test_delivery_couier_flow","TestDeliveryCourierFlow","","","End-to-End Test: Multi-Order Routing and Delivery Flow","
        Проверка полного цикла маршрутизации и выполнения нескольких доставок:
        - Создание нескольких заказов.
        - Включение смены курьера.
        - Назначение курьера на все заказы.
        - Выполнение доставки для каждого заказа.
        - Проверка маршрута курьера на корректность данных и финальный статус.
        "
"failed","Mon Mar 24 22:38:55 MSK 2025","Mon Mar 24 22:38:56 MSK 2025","166","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:26:46 MSK 2025","Mon Mar 24 22:27:23 MSK 2025","36542","tests.e2e","test_delivery_couier_flow","TestDeliveryCourierFlow","","","End-to-End Test: Single Order Delivery Flow","
        Проверка полного цикла выполнения доставки заданного количество заказов:
        - Создание доставки на рандомный адрес.
        - Включение смены курьера.
        - Назначение курьера на доставку.
        - Выполнение всех этапов доставки (""pickup_arrived"", ""pickuped"", ""delivered"").
        - Завершение доставки с учетом ограничения на кнопку 'Передал' в приложении курьера.
        "
"passed","Mon Mar 24 22:39:04 MSK 2025","Mon Mar 24 22:39:04 MSK 2025","774","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by random id",""
"passed","Mon Mar 24 22:39:09 MSK 2025","Mon Mar 24 22:39:10 MSK 2025","555","tests.test_delivery","test_create_delivery","TestCreateDelivery","","","Create SAAS delivery",""
"passed","Mon Mar 24 22:38:54 MSK 2025","Mon Mar 24 22:38:55 MSK 2025","532","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:39:08 MSK 2025","Mon Mar 24 22:39:08 MSK 2025","140","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by id with extra params",""
"passed","Mon Mar 24 22:39:06 MSK 2025","Mon Mar 24 22:39:07 MSK 2025","201","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by invalid id",""
"passed","Mon Mar 24 22:38:58 MSK 2025","Mon Mar 24 22:38:58 MSK 2025","600","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:39:08 MSK 2025","Mon Mar 24 22:39:08 MSK 2025","128","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by id without auth",""
"passed","Mon Mar 24 22:38:57 MSK 2025","Mon Mar 24 22:38:57 MSK 2025","168","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:38:52 MSK 2025","Mon Mar 24 22:38:53 MSK 2025","549","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:39:01 MSK 2025","Mon Mar 24 22:39:03 MSK 2025","2418","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by valid id",""
"passed","Mon Mar 24 22:38:50 MSK 2025","Mon Mar 24 22:38:50 MSK 2025","133","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies without auth",""
"passed","Mon Mar 24 22:39:07 MSK 2025","Mon Mar 24 22:39:07 MSK 2025","358","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by invalid id",""
"failed","Mon Mar 24 22:39:05 MSK 2025","Mon Mar 24 22:39:05 MSK 2025","349","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by invalid id",""
"passed","Mon Mar 24 22:38:51 MSK 2025","Mon Mar 24 22:38:52 MSK 2025","536","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"failed","Mon Mar 24 22:38:56 MSK 2025","Mon Mar 24 22:38:56 MSK 2025","147","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:39:05 MSK 2025","Mon Mar 24 22:39:06 MSK 2025","466","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Get company by invalid id",""
"passed","Mon Mar 24 22:38:59 MSK 2025","Mon Mar 24 22:38:59 MSK 2025","275","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:39:08 MSK 2025","Mon Mar 24 22:39:09 MSK 2025","272","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Check permissions for manual creation of system entities (without external_id) by roles",""
"passed","Mon Mar 24 22:38:50 MSK 2025","Mon Mar 24 22:38:51 MSK 2025","385","tests.test_company","test_get_companies","TestGetCompanies","","","Get companies with pagination",""
"passed","Mon Mar 24 22:39:09 MSK 2025","Mon Mar 24 22:39:09 MSK 2025","294","tests.test_company","test_get_company_by_id","TestGetCompanyById","","","Check permissions for manual creation of system entities (without external_id) by roles",""
